"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1977","1977",49.559946,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1977-Q1","T1-1977",49.395515,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1977-Q2","T2-1977",49.426494,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1977-Q4","T4-1977",49.696066,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1977-Q3","T3-1977",49.719618,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1978","1978",49.091947,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1978-Q2","T2-1978",48.537717,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1978-Q1","T1-1978",48.950862,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1978-Q4","T4-1978",49.413618,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1978-Q3","T3-1978",49.468854,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1979","1979",50.47307,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1979-Q1","T1-1979",50.403928,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1979-Q2","T2-1979",49.844966,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1979-Q4","T4-1979",50.953679,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1979-Q3","T3-1979",50.693977,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1980","1980",50.409619,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1980-Q2","T2-1980",49.959952,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1980-Q1","T1-1980",49.936665,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1980-Q4","T4-1980",50.55373,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1980-Q3","T3-1980",51.201549,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1981","1981",50.92572,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1981-Q1","T1-1981",50.319848,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1981-Q2","T2-1981",50.569977,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1981-Q4","T4-1981",51.71656,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1981-Q3","T3-1981",51.087467,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1982","1982",50.577515,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1982-Q2","T2-1982",50.912175,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1982-Q1","T1-1982",51.063468,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1982-Q4","T4-1982",49.883726,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1982-Q3","T3-1982",50.460756,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1983","1983",51.061976,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1983-Q1","T1-1983",49.9818,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1983-Q2","T2-1983",51.245738,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1983-Q4","T4-1983",51.676301,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1983-Q3","T3-1983",51.335283,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1984","1984",50.795952,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1984-Q2","T2-1984",50.417838,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1984-Q1","T1-1984",50.875762,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1984-Q4","T4-1984",50.923142,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1984-Q3","T3-1984",50.971773,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1985","1985",50.748035,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1985-Q1","T1-1985",49.977941,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1985-Q2","T2-1985",50.875011,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1985-Q4","T4-1985",51.100537,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1985-Q3","T3-1985",51.042975,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1986","1986",51.671162,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1986-Q2","T2-1986",51.584589,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1986-Q1","T1-1986",51.575515,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1986-Q4","T4-1986",52.182003,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1986-Q3","T3-1986",51.339805,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1987","1987",51.606505,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1987-Q1","T1-1987",51.221271,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1987-Q2","T2-1987",51.621883,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1987-Q4","T4-1987",51.574908,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1987-Q3","T3-1987",52.012618,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1988","1988",50.647996,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1988-Q2","T2-1988",50.877635,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1988-Q1","T1-1988",50.301701,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1988-Q4","T4-1988",50.279949,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1988-Q3","T3-1988",51.140437,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1989","1989",50.064767,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1989-Q1","T1-1989",49.811186,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1989-Q2","T2-1989",49.926505,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1989-Q4","T4-1989",50.396171,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1989-Q3","T3-1989",50.127907,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1990","1990",48.83347,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1990-Q2","T2-1990",48.947047,,
"IT","Italia","ACT_R","tasso di attività ","1","maschi","Y15-24","15-24 anni","TOTAL","totale","1990-Q1","T1-1990",48.539975,,
