"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1977","1977",16.38746,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1977-Q1","T1-1977",16.555968,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1977-Q2","T2-1977",15.943972,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1977-Q4","T4-1977",17.125395,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1977-Q3","T3-1977",15.921176,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1978","1978",17.470679,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1978-Q2","T2-1978",17.953428,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1978-Q1","T1-1978",18.057442,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1978-Q4","T4-1978",16.1789,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1978-Q3","T3-1978",17.678189,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1979","1979",15.905589,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1979-Q1","T1-1979",16.44831,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1979-Q2","T2-1979",16.067378,,
"ITC","Nord-ovest","UNEM_R","tasso di disoccupazione","1","maschi","Y15-24","15-24 anni","1979-Q4","T4-1979",16.139062,,
